"alpha","beta","N.tot","S.frac","sigma","cv.abund","S.tot","alpha.const","slope.P","slope.E","slope.S1","mean.P.minus","mean.log.abund","E.happened","type"
0.01,-1,100,0.1,0.01,0.1,10,TRUE,NA,NA,0.82880636068402,0.000332948723230587,2.24259317629805,FALSE,"Negative DD"
0.1,-1,100,0.1,0.01,0.1,10,TRUE,NA,NA,0.943984743849488,0.00350325450677995,2.25286220500825,FALSE,"Negative DD"
0.3,-1,100,0.1,0.01,0.1,10,TRUE,-0.013525266008334,-0.446184560382118,0.902274318492946,0.0151246025196223,2.20345712610539,TRUE,"Negative DD"
0.5,-1,100,0.1,0.01,0.1,10,TRUE,-0.013525266008334,-11.9470837354298,0.913537224543514,0.0302184823671653,2.251905774097,TRUE,"Negative DD"
0.7,-1,100,0.1,0.01,0.1,10,TRUE,NA,NA,0.870729092424488,0.0657125012821583,2.21695830388488,FALSE,"Negative DD"
0.9,-1,100,0.1,0.01,0.1,10,TRUE,-0.0175712857544169,-0.446184560382118,0.880435700235198,0.185312982029402,2.27851291427361,TRUE,"Negative DD"
0.99,-1,100,0.1,0.01,0.1,10,TRUE,-0.0189581764600754,0.83272435811971,0.881695757183149,0.593317039530946,2.24457343902767,TRUE,"Negative DD"
0.01,-0.4,100,0.1,0.01,0.1,10,TRUE,NA,NA,0.885687987113917,0.00414366748637116,2.23344741524917,FALSE,"Negative DD"
0.1,-0.4,100,0.1,0.01,0.1,10,TRUE,NA,NA,0.946026473593372,0.0433173343134747,2.22032690965037,FALSE,"Negative DD"
0.3,-0.4,100,0.1,0.01,0.1,10,TRUE,NA,NA,0.914207254101631,0.151585128907243,2.25701823586261,FALSE,"Negative DD"
0.5,-0.4,100,0.1,0.01,0.1,10,TRUE,-0.0244820976635703,-0.55804922503731,0.873937715937596,0.298027800978746,2.2753876599232,TRUE,"Negative DD"
0.7,-0.4,100,0.1,0.01,0.1,10,TRUE,-0.0347854187063282,0.682456799561546,0.923008994526277,0.480356349331594,2.21056244632127,TRUE,"Negative DD"
0.9,-0.4,100,0.1,0.01,0.1,10,TRUE,-0.0421566732727294,0.770920328777328,0.891759714568647,0.786475284615272,2.26885401978802,TRUE,"Negative DD"
0.99,-0.4,100,0.1,0.01,0.1,10,TRUE,-0.0145015564872808,0.895286435202118,0.909667473872188,0.974724258069514,2.2495593501635,TRUE,"Negative DD"
0.01,0,100,0.1,0.01,0.1,10,TRUE,NA,NA,0.930992797730077,0.01,2.25955001666104,FALSE,"Constant death"
0.1,0,100,0.1,0.01,0.1,10,TRUE,NA,NA,0.925226541616354,0.1,2.26296057790969,FALSE,"Constant death"
0.3,0,100,0.1,0.01,0.1,10,TRUE,-0.0235825150914542,0.078959286118086,0.880435700235198,0.3,2.22691108545974,TRUE,"Constant death"
0.5,0,100,0.1,0.01,0.1,10,TRUE,-0.0183342494779639,-0.446184560382118,0.925364824666768,0.5,2.21001787293804,TRUE,"Constant death"
0.7,0,100,0.1,0.01,0.1,10,TRUE,-0.0680361865873772,-0.650593639985537,0.863041718455655,0.7,2.22350402555035,TRUE,"Constant death"
0.9,0,100,0.1,0.01,0.1,10,TRUE,-0.0531174083236391,0.777471280556886,0.857757819324431,0.9,2.27809033899418,TRUE,"Constant death"
0.99,0,100,0.1,0.01,0.1,10,TRUE,-0.0248502495081353,0.868937008416035,0.900151592204978,0.99,2.28130477324205,TRUE,"Constant death"
0.01,0.4,100,0.1,0.01,0.1,10,TRUE,NA,NA,0.847415972651859,0.027938183753785,2.22946765657354,FALSE,"Positive DD"
0.1,0.4,100,0.1,0.01,0.1,10,TRUE,-0.0108202128066672,-11.9470837354298,0.901574507087557,0.211450348792971,2.27528345485856,TRUE,"Positive DD"
0.3,0.4,100,0.1,0.01,0.1,10,TRUE,-0.0219206483343091,0.078959286118086,0.905890667507932,0.508501662777445,2.26123770369583,TRUE,"Positive DD"
0.5,0.4,100,0.1,0.01,0.1,10,TRUE,-0.0663947059857734,-0.0966681962346151,0.86532607890263,0.703726829194785,2.27187370529492,TRUE,"Positive DD"
0.7,0.4,100,0.1,0.01,0.1,10,TRUE,-0.0573378798302024,0.795491336391056,0.871646254911642,0.851889334198628,2.2292400370356,TRUE,"Positive DD"
0.9,0.4,100,0.1,0.01,0.1,10,TRUE,-0.0162501364495734,0.904591461449243,0.918951679902894,0.956180400933847,2.24065944819394,TRUE,"Positive DD"
0.99,0.4,100,0.1,0.01,0.1,10,TRUE,0,0.8816120926175,0.8816120926175,0.995735464890978,2.26386943452757,TRUE,"Positive DD"
0.01,1,100,0.1,0.01,0.1,10,TRUE,-0.0127296621254908,-11.9470837354298,0.914207254101631,0.377969150005129,2.26079226866089,TRUE,"Positive DD"
0.1,1,100,0.1,0.01,0.1,10,TRUE,-0.0455135935518542,0.76207118421718,0.846643143618629,0.814626392076218,2.24596986254513,TRUE,"Positive DD"
0.3,1,100,0.1,0.01,0.1,10,TRUE,-0.0334911348777796,0.768222128506108,0.822253229204226,0.930945596747466,2.21331457786106,TRUE,"Positive DD"
0.5,1,100,0.1,0.01,0.1,10,TRUE,-0.0179629676659704,0.892229872186281,0.908383916168239,0.969877630903436,2.23803364897076,TRUE,"Positive DD"
0.7,1,100,0.1,0.01,0.1,10,TRUE,0,0.937217137144813,0.937217137144813,0.987661729820581,2.27260363554308,TRUE,"Positive DD"
0.9,1,100,0.1,0.01,0.1,10,TRUE,-0.0183928004130649,0.836715243126954,0.86119308786605,0.996372735735666,2.24383542829791,TRUE,"Positive DD"
0.99,1,100,0.1,0.01,0.1,10,TRUE,0,0.866363152282407,0.866363152282407,0.999717525225133,2.28270445563498,TRUE,"Positive DD"
0.01,4,100,0.1,0.01,0.1,10,TRUE,-0.0235781534023616,0.846224421089665,0.881695757183149,0.899694427662042,2.18998386670837,TRUE,"Positive DD"
0.1,4,100,0.1,0.01,0.1,10,TRUE,-0.0303390280657532,0.907961156089296,0.933579578778012,0.968892471974906,2.16199479706995,TRUE,"Positive DD"
0.3,4,100,0.1,0.01,0.1,10,TRUE,0,0.937762497741083,0.937762497741083,0.992795538871954,2.21596021498512,TRUE,"Positive DD"
0.5,4,100,0.1,0.01,0.1,10,TRUE,0,0.916785546493919,0.916785546493919,0.999063255283905,2.27748265196003,TRUE,"Positive DD"
0.7,4,100,0.1,0.01,0.1,10,TRUE,0,0.936906373386414,0.936906373386414,0.999406545360981,2.25746367089755,TRUE,"Positive DD"
0.9,4,100,0.1,0.01,0.1,10,TRUE,0,0.838519355117717,0.838519355117717,0.999794000218538,2.2477717130954,TRUE,"Positive DD"
0.99,4,100,0.1,0.01,0.1,10,TRUE,0,0.893342967668235,0.893342967668235,0.999990040169251,2.27703721692509,TRUE,"Positive DD"
0.01,-4,1000,0.1,0.01,0.1,100,TRUE,NA,NA,0.874697777925302,2.73100460241864e-05,2.22570748693803,FALSE,"Negative DD"
0.1,-4,1000,0.1,0.01,0.1,100,TRUE,NA,NA,0.88604342000417,0.000279014899707745,2.23092877939342,FALSE,"Negative DD"
0.3,-4,1000,0.1,0.01,0.1,100,TRUE,NA,NA,0.882052551159458,0.000723019758671887,2.2559368319777,FALSE,"Negative DD"
0.5,-4,1000,0.1,0.01,0.1,100,TRUE,NA,NA,0.877723368729469,0.00213502186840421,2.240680960229,FALSE,"Negative DD"
0.7,-4,1000,0.1,0.01,0.1,100,TRUE,NA,NA,0.874201569457011,0.00468855435208524,2.23918606890971,FALSE,"Negative DD"
0.9,-4,1000,0.1,0.01,0.1,100,TRUE,-0.000997254636559191,-11.9470837354298,0.864211482181479,0.0118018199617224,2.26393204113003,TRUE,"Negative DD"
0.99,-4,1000,0.1,0.01,0.1,100,TRUE,-0.000489703472296964,0.858315548293422,0.881487980349694,0.0904351259095093,2.25106234110635,TRUE,"Negative DD"
0.01,-1,1000,0.1,0.01,0.1,100,TRUE,NA,NA,0.892118035277649,0.000338976677146295,2.23326783521927,FALSE,"Negative DD"
0.1,-1,1000,0.1,0.01,0.1,100,TRUE,NA,NA,0.895486694412332,0.00349315347419026,2.25010448043087,FALSE,"Negative DD"
0.3,-1,1000,0.1,0.01,0.1,100,TRUE,-0.00114499606419759,-11.9470837354298,0.895217828001611,0.0132688640487622,2.24618271372866,TRUE,"Negative DD"
0.5,-1,1000,0.1,0.01,0.1,100,TRUE,-0.000284718973918485,0.943892426038389,0.919550440397235,0.0314477144702139,2.22131597836878,TRUE,"Negative DD"
0.7,-1,1000,0.1,0.01,0.1,100,TRUE,-0.00164696098070349,-0.446184560382118,0.891365468381359,0.0633771313631694,2.24863666773421,TRUE,"Negative DD"
0.9,-1,1000,0.1,0.01,0.1,100,TRUE,-0.0103429240707246,0.538970231385664,0.87560159829767,0.181502375090018,2.24412436898685,TRUE,"Negative DD"
0.99,-1,1000,0.1,0.01,0.1,100,TRUE,-0.0429548215035063,0.748082046642278,0.901009338121256,0.577028059064854,2.21996799275239,TRUE,"Negative DD"
