"alpha","beta","N.tot","S.frac","sigma","cv.abund","alpha.const","S.tot","slope.P","slope.E","slope.S1","mean.P.minus","mean.log.abund","E.happened","type"
0.5,0.4,100,0.1,0.01,0.1,FALSE,10,-0.00377848701185206,0.847600714784629,0.86962987698871,0.716882890394771,2.26056525380744,TRUE,"Positive DD"
0.5,1,100,0.1,0.01,0.1,FALSE,10,-0.0296132139971945,0.797287669828334,0.83548136118798,0.913278954433969,2.26148488056117,TRUE,"Positive DD"
0.5,4,100,0.1,0.01,0.1,FALSE,10,0,0.880435700235198,0.880435700235198,0.994770206400499,2.23022221086545,TRUE,"Positive DD"
0.5,-4,1000,0.1,0.01,0.1,FALSE,100,-0.000115918436385491,0.943892426038389,0.892322996787843,0.00569015849016474,2.24780795613479,TRUE,"Negative DD"
0.5,-1,1000,0.1,0.01,0.1,FALSE,100,-0.0011041033476191,-11.9470837354298,0.882568063368012,0.0606025046248042,2.24063821271867,TRUE,"Negative DD"
0.5,-0.4,1000,0.1,0.01,0.1,FALSE,100,-0.0146037160079435,0.762540254476447,0.899315490624518,0.329463334211604,2.24538633975435,TRUE,"Negative DD"
0.5,0,1000,0.1,0.01,0.1,FALSE,100,-0.0226432495585763,0.802329181256442,0.887599976633333,0.551789988980214,2.24349620428025,TRUE,"Constant death"
0.5,0.4,1000,0.1,0.01,0.1,FALSE,100,-0.0494135073903367,0.697042084580945,0.877835687336453,0.649667114573558,2.25988413314169,TRUE,"Positive DD"
0.5,1,1000,0.1,0.01,0.1,FALSE,100,-0.0305759493885116,0.851931214668912,0.893837922614148,0.93905726464997,2.25575522041432,TRUE,"Positive DD"
0.5,4,1000,0.1,0.01,0.1,FALSE,100,-0.00785508051826756,0.884683852814699,0.891536991768201,0.995535684887436,2.24746059219116,TRUE,"Positive DD"
0.5,-4,100,0.2,0.01,0.1,FALSE,20,NA,NA,0.891421607692507,0.021386061097778,1.51751623542124,FALSE,"Negative DD"
0.5,-1,100,0.2,0.01,0.1,FALSE,20,-0.0161685863109342,0.0222012647297575,0.915640700695793,0.258028934968898,1.52805228698702,TRUE,"Negative DD"
0.5,-0.4,100,0.2,0.01,0.1,FALSE,20,-0.0266081015199321,0.843255745448241,0.896045017452662,0.457643308369272,1.47516277227963,TRUE,"Negative DD"
0.5,0,100,0.2,0.01,0.1,FALSE,20,-0.0183688260086709,0.91032504796337,0.936742979915993,0.471542375123175,1.45926601649849,TRUE,"Constant death"
0.5,0.4,100,0.2,0.01,0.1,FALSE,20,-0.0182235163059658,0.907487421102144,0.944324241798329,0.59797394033647,1.51417296160591,TRUE,"Positive DD"
0.5,1,100,0.2,0.01,0.1,FALSE,20,-0.0277647778753067,0.887771356076973,0.936742979915993,0.820309634802756,1.55280615032691,TRUE,"Positive DD"
0.5,4,100,0.2,0.01,0.1,FALSE,20,-0.00907865639858042,0.917140278045407,0.93554767839129,0.921749166746182,1.5317454770731,TRUE,"Positive DD"
0.5,-4,1000,0.2,0.01,0.1,FALSE,200,-0.000333694252530377,0.852173115853908,0.918380421771563,0.0544709801638328,1.4839697547844,TRUE,"Negative DD"
0.5,-1,1000,0.2,0.01,0.1,FALSE,200,-0.014514192900236,0.763138379060246,0.918728251060828,0.206455226957553,1.49658148256076,TRUE,"Negative DD"
0.5,-0.4,1000,0.2,0.01,0.1,FALSE,200,-0.0201374526020872,0.841928211255634,0.917549885814011,0.439409063640346,1.50882675495635,TRUE,"Negative DD"
0.5,0,1000,0.2,0.01,0.1,FALSE,200,-0.0255137935094682,0.837626841232946,0.921385450814504,0.470780073784371,1.49708091741968,TRUE,"Constant death"
0.5,0.4,1000,0.2,0.01,0.1,FALSE,200,-0.0251825267090851,0.84444942889079,0.91433352147809,0.547723767064936,1.50246280409283,TRUE,"Positive DD"
0.5,1,1000,0.2,0.01,0.1,FALSE,200,-0.0269034101809098,0.870013742683299,0.91492832613662,0.833893660706886,1.47283391377706,TRUE,"Positive DD"
0.5,4,1000,0.2,0.01,0.1,FALSE,200,-0.0129091761816204,0.914450003424384,0.927717870293527,0.94647470927271,1.49436176867811,TRUE,"Positive DD"
0.5,-4,100,0.05,0.1,0.1,FALSE,5,NA,NA,0.54247420416099,0.000107678457102828,2.92826587733487,FALSE,"Negative DD"
0.5,-1,100,0.05,0.1,0.1,FALSE,5,NA,NA,0.449303380981343,0.00633794309269394,2.93978949299347,FALSE,"Negative DD"
0.5,-0.4,100,0.05,0.1,0.1,FALSE,5,-0.0159120776568636,-13.1086093822803,0.518464593737997,0.0843340070861049,2.98209524114244,TRUE,"Negative DD"
0.5,0,100,0.05,0.1,0.1,FALSE,5,-0.0415674764585725,0.309960997480594,0.500898157228391,0.461320587441185,2.96792295889146,TRUE,"Constant death"
0.5,0.4,100,0.05,0.1,0.1,FALSE,5,-0.101107839853171,0.111729105954148,0.465486269038143,0.542710586452265,2.98441820325631,TRUE,"Positive DD"
0.5,1,100,0.05,0.1,0.1,FALSE,5,0,0.568736031048655,0.568736031048655,0.998402655274621,2.98795811867619,TRUE,"Positive DD"
0.5,4,100,0.05,0.1,0.1,FALSE,5,0,0.528496430809402,0.528496430809402,0.999999770044445,2.99377636571621,TRUE,"Positive DD"
0.5,-4,1000,0.05,0.1,0.1,FALSE,50,NA,NA,0.463741851339075,1.42186317805896e-05,2.96606754222598,FALSE,"Negative DD"
0.5,-1,1000,0.05,0.1,0.1,FALSE,50,-0.00101714142840883,-0.446184560061958,0.472061408001807,0.00479859883906358,2.97220055760729,TRUE,"Negative DD"
0.5,-0.4,1000,0.05,0.1,0.1,FALSE,50,-0.0437954643267703,0.0997129428573849,0.472476208790193,0.298567089452198,2.96954295458881,TRUE,"Negative DD"
0.5,0,1000,0.05,0.1,0.1,FALSE,50,-0.0864646480022958,0.182262627607738,0.465273199032228,0.588076027499428,2.96940519727125,TRUE,"Constant death"
0.5,0.4,1000,0.05,0.1,0.1,FALSE,50,-0.0835174019653127,0.318065387130041,0.469742146513998,0.831096158491233,2.96570206387794,TRUE,"Positive DD"
0.5,1,1000,0.05,0.1,0.1,FALSE,50,-0.0181371150695125,0.445112952805796,0.466882381198911,0.98857211644529,2.95836666569679,TRUE,"Positive DD"
0.5,4,1000,0.05,0.1,0.1,FALSE,50,0,0.473240440766496,0.473240440766496,0.99992562862767,2.95880091216487,TRUE,"Positive DD"
0.5,-4,100,0.1,0.1,0.1,FALSE,10,NA,NA,0.551813089490932,0.010563686637843,2.19506571234788,FALSE,"Negative DD"
0.5,-1,100,0.1,0.1,0.1,FALSE,10,-0.0148610947498979,-0.799846709918839,0.623926088744782,0.0520484670820084,2.28287960893886,TRUE,"Negative DD"
0.5,-0.4,100,0.1,0.1,0.1,FALSE,10,-0.0483040916071994,0.194795414504979,0.544317960858822,0.311784032645991,2.2361474046659,TRUE,"Negative DD"
0.5,0,100,0.1,0.1,0.1,FALSE,10,-0.0366985033708631,0.578096731078047,0.617777561165051,0.533406914348714,2.2632206560797,TRUE,"Constant death"
0.5,0.4,100,0.1,0.1,0.1,FALSE,10,-0.0743310314417076,0.361694784195975,0.512705538766319,0.650062493796091,2.25437147986369,TRUE,"Positive DD"
0.5,1,100,0.1,0.1,0.1,FALSE,10,-0.064852598863862,0.403719346193585,0.50224076303228,0.895547964439617,2.24656333609711,TRUE,"Positive DD"
0.5,4,100,0.1,0.1,0.1,FALSE,10,-0.0154647282009044,0.460107215113,0.479274406408394,0.998806727874108,2.24033649883681,TRUE,"Positive DD"
0.5,-4,1000,0.1,0.1,0.1,FALSE,100,-0.00115915734078828,-0.7300044747907,0.57717408746217,0.00550326532758318,2.24267914397802,TRUE,"Negative DD"
0.5,-1,1000,0.1,0.1,0.1,FALSE,100,-0.0131723867585061,0.166888052693092,0.551444881249387,0.0644615915047973,2.24432367878204,TRUE,"Negative DD"
0.5,-0.4,1000,0.1,0.1,0.1,FALSE,100,-0.0485683058014845,0.383818647784337,0.592182985607053,0.38509905866451,2.25372420984204,TRUE,"Negative DD"
0.5,0,1000,0.1,0.1,0.1,FALSE,100,-0.066206043886071,0.320358332827802,0.58021608862509,0.446184998503947,2.25246838891157,TRUE,"Constant death"
0.5,0.4,1000,0.1,0.1,0.1,FALSE,100,-0.0798773673400354,0.354490013608065,0.552371538909433,0.644203122365304,2.24646105488928,TRUE,"Positive DD"
0.5,1,1000,0.1,0.1,0.1,FALSE,100,-0.034450761888122,0.531512340099715,0.57560999388148,0.940202295585588,2.24865270288017,TRUE,"Positive DD"
0.5,4,1000,0.1,0.1,0.1,FALSE,100,-0.00285057747026711,0.573796302641698,0.577534205432293,0.994578899497548,2.24743505951787,TRUE,"Positive DD"
0.5,-4,100,0.2,0.1,0.1,FALSE,20,-0.00282527778840755,0.756369908756567,0.692982232785417,0.0369676150194263,1.53802363822186,TRUE,"Negative DD"
0.5,-1,100,0.2,0.1,0.1,FALSE,20,-0.0234082320273229,0.528196935430505,0.731137158022074,0.220278223251364,1.4962442745277,TRUE,"Negative DD"
0.5,-0.4,100,0.2,0.1,0.1,FALSE,20,-0.0855136077033413,0.215953665057595,0.630147351815517,0.485132437858585,1.50951592764223,TRUE,"Negative DD"
0.5,0,100,0.2,0.1,0.1,FALSE,20,-0.0215644767247999,0.68200919844011,0.725619261450279,0.565280882741464,1.51633040909037,TRUE,"Constant death"
0.5,0.4,100,0.2,0.1,0.1,FALSE,20,-0.038201566214786,0.633932373239596,0.719032725545442,0.605301700979957,1.39825912943952,TRUE,"Positive DD"
