"S","M","Amu","d_z","P.alpha","P.gamma","P.slope","E.slope","type"
10,100,-0.5,2.6,0.112892857142857,0,-0.0112892857142857,-0.093,"Positive DD"
100,100,-0.5,2.6,0.00455094310451453,0,-0.000455094310451453,-0.045,"Positive DD"
10,10,-0.1,2.6,0.289285714285714,0,-0.0289285714285714,-0.21,"Positive DD"
100,10,-0.1,2.6,0.0470869818020839,0,-0.00470869818020839,-0.44,"Positive DD"
10,100,-0.1,2.6,0.384801587301587,0,-0.0384801587301587,-0.243,"Positive DD"
100,100,-0.1,2.6,0.0549318230046773,0,-0.00549318230046773,-0.506,"Positive DD"
10,10,-0.9,2.8,0.0633333333333333,0,-0.00633333333333333,-0.06,"Positive DD"
100,10,-0.9,2.8,0,0,0,0,"Positive DD"
10,100,-0.9,2.8,0.0368055555555556,0,-0.00368055555555556,-0.034,"Positive DD"
100,100,-0.9,2.8,0.000301010101010101,0,-3.01010101010101e-05,-0.003,"Positive DD"
10,10,-0.5,2.8,0.0855555555555556,0,-0.00855555555555556,-0.08,"Positive DD"
100,10,-0.5,2.8,0,0,0,0,"Positive DD"
10,100,-0.5,2.8,0.0414007936507937,0,-0.00414007936507937,-0.037,"Positive DD"
100,100,-0.5,2.8,0.0015,0,-0.00015,-0.015,"Positive DD"
10,10,-0.1,2.8,0.178055555555556,0,-0.0178055555555556,-0.16,"Positive DD"
100,10,-0.1,2.8,0.0268173012789235,0,-0.00268173012789235,-0.26,"Positive DD"
10,100,-0.1,2.8,0.269035714285714,0,-0.0269035714285714,-0.167,"Positive DD"
100,100,-0.1,2.8,0.0327990008006218,0,-0.00327990008006218,-0.31,"Positive DD"
10,10,-0.9,3,0.0728968253968254,0,-0.00728968253968254,-0.06,"Positive DD"
100,10,-0.9,3,0,0,0,0,"Positive DD"
10,100,-0.9,3,0.0420833333333333,0,-0.00420833333333333,-0.04,"Positive DD"
100,100,-0.9,3,1e-04,0,-1e-05,-0.001,"Positive DD"
10,10,-0.5,3,0.0644444444444444,0,-0.00644444444444444,-0.06,"Positive DD"
100,10,-0.5,3,0.001,0,-1e-04,-0.01,"Positive DD"
10,100,-0.5,3,0.0661944444444444,0,-0.00661944444444444,-0.064,"Positive DD"
100,100,-0.5,3,1e-04,0,-1e-05,-0.001,"Positive DD"
10,10,-0.1,3,0.196626984126984,0,-0.0196626984126984,-0.16,"Positive DD"
100,10,-0.1,3,0.0263183685689209,0,-0.00263183685689209,-0.26,"Positive DD"
10,100,-0.1,3,0.388452380952381,0,-0.0388452380952381,-0.234,"Positive DD"
100,100,-0.1,3,0.0527424720022363,0,-0.00527424720022363,-0.516,"Positive DD"
10,10,-0.9,1,NA,0.571428571428571,NA,0.27,"Negative DD"
100,10,-0.9,1,0.9,0.857142857142857,-0.00428571428571429,1.06,"Negative DD"
10,100,-0.9,1,NA,0.1,NA,0.046,"Negative DD"
100,100,-0.9,1,NA,0.603174603174603,NA,3.726,"Negative DD"
10,10,-0.5,1,NA,0.714285714285714,NA,0.41,"Negative DD"
100,10,-0.5,1,0.868888888888889,0.883720930232558,0.00148320413436692,3.35,"Negative DD"
10,100,-0.5,1,NA,0.1,NA,0.016,"Negative DD"
100,100,-0.5,1,NA,0.67948717948718,NA,5.194,"Negative DD"
10,10,-0.1,1,0.525,0.375,-0.015,0.18,"Negative DD"
100,10,-0.1,1,0.836309523809524,0.787234042553192,-0.00490754812563323,3.15,"Negative DD"
10,100,-0.1,1,NA,0,NA,-0.126,"Negative DD"
100,100,-0.1,1,0.843046582760205,0.22,-0.0623046582760205,1.1,"Negative DD"
10,10,-0.9,1.2,NA,0.2,NA,0.06,"Negative DD"
100,10,-0.9,1.2,NA,0.9,NA,1.62,"Negative DD"
10,100,-0.9,1.2,NA,0,NA,-0.03,"Negative DD"
100,100,-0.9,1.2,NA,0.777777777777778,NA,5.494,"Negative DD"
10,10,-0.5,1.2,NA,0.142857142857143,NA,0.05,"Negative DD"
100,10,-0.5,1.2,NA,0.619047619047619,NA,1.14,"Negative DD"
10,100,-0.5,1.2,NA,0,NA,-0.135,"Negative DD"
